method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,collision_rate,elapsed_s
mcsh_l1,MCSH $L_h=1$,candidate_aware,oracle,59,4084000,33,2000,582554,4096000,0.13770352294036606,1.444662095984329e-05,1.120078202855482e-05,1.8633043685274998e-05,0.0165,0.011772823607253478,0.023080961113718004,0.0115,0.0225,0.023080961113718004,False,False,0.14222509765625,30.757962042000145
mcsh_l1,MCSH $L_h=1$,candidate_aware,mixllr,526,4084000,160,2000,582554,4096000,0.13775573146345085,0.00012879529872673848,0.00011824950642788707,0.0001402814597044914,0.08,0.06889957451773465,0.09271074519851774,0.0685,0.092,0.09271074519851774,False,True,0.14222509765625,28.249717916999998
mcsh_l2,MCSH $L_h=2$,fixed_d1,none,1007,4084000,195,2000,16066,4096000,0.035382189150380765,0.00024657198824681685,0.0002318074925776683,0.0002622766310307742,0.0975,0.08526070981102869,0.11128251325037984,0.084,0.111,0.11128251325037984,False,True,0.00392236328125,30.308871415999874
mcsh_l2,MCSH $L_h=2$,fixed_d1,brw,35,4084000,10,2000,16066,4096000,0.035399847832569956,8.570029382957885e-06,6.162450116843511e-06,1.191820349838852e-05,0.005,0.002718180858498604,0.009179695949941696,0.002,0.0085,0.009179695949941696,False,False,0.00392236328125,30.461172041999816
mcsh_l2,MCSH $L_h=2$,fixed_d1,hard_tuned,69,4084000,19,2000,16066,4096000,0.03538879359285165,1.6895200783545545e-05,1.335142572569173e-05,2.1379555029220507e-05,0.0095,0.0060902402286099255,0.014790383154299099,0.0055,0.014,0.014790383154299099,False,False,0.00392236328125,30.525152875000003
mcsh_l2,MCSH $L_h=2$,fixed_d1,oracle,0,4084000,0,2000,16066,4096000,0.03532799030590216,0.0,0.0,9.406109714435848e-07,0.0,0.0,0.0019170472812528286,0.0,0.0,0.0015,True,False,0.00392236328125,30.493250792000254
mcsh_l2,MCSH $L_h=2$,fixed_d1,mixllr,9,4084000,4,2000,16066,4096000,0.035312039129438484,2.2037218413320273e-06,1.1594211230390511e-06,4.1886293853787035e-06,0.002,0.0007780273070510766,0.0051313517850767425,0.0005,0.004,0.0051313517850767425,False,False,0.00392236328125,28.105738833000032
mcsh_l2,MCSH $L_h=2$,fixed_d3,none,83279,4084000,1998,2000,666865,4096000,0.15301516496796627,0.02039152791380999,0.020254903954276933,0.02052905412332473,0.999,0.9963610657309617,0.9997257210823479,0.9975,1.0,0.9997257210823479,False,True,0.162808837890625,30.558802167000067
mcsh_l2,MCSH $L_h=2$,fixed_d3,brw,3461,4084000,738,2000,666865,4096000,0.1529461850319835,0.0008474534769833497,0.0008196976607091242,0.0008761483099809422,0.369,0.34812232726921416,0.3903799391184741,0.3475,0.389,0.3903799391184741,False,True,0.162808837890625,30.758850708999944
mcsh_l2,MCSH $L_h=2$,fixed_d3,hard_tuned,6098,4084000,1073,2000,666865,4096000,0.15314170132347155,0.0014931439764936337,0.0014561617039379722,0.0015310640510855264,0.5365,0.5145962756874962,0.5582637798609722,0.515,0.559,0.5582637798609722,False,True,0.162808837890625,30.869795666999835
