method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,collision_rate,elapsed_s
sbs,Staggered Block-Shift,candidate_aware,brw,165948,1021000,500,500,512156,1024000,0.4027265463096437,0.16253476983349657,0.16182040444707632,0.16325167460073495,1.0,0.9923756595384482,1.0,1.0,1.0,1.0,False,True,0.50015234375,8.061180958000023
sbs,Staggered Block-Shift,candidate_aware,hard_tuned,275299,1021000,500,500,512156,1024000,0.40304133121063895,0.2696366307541626,0.2687767147200164,0.2704982802419176,1.0,0.9923756595384482,1.0,1.0,1.0,1.0,False,True,0.50015234375,8.031229334000045
sbs,Staggered Block-Shift,candidate_aware,oracle,167770,1021000,500,500,512156,1024000,0.4028451045638397,0.16431929480901078,0.16360177189704891,0.16503934367347847,1.0,0.9923756595384482,1.0,1.0,1.0,1.0,False,True,0.50015234375,7.9555692499999395
sbs,Staggered Block-Shift,candidate_aware,mixllr,108920,1021000,500,500,512156,1024000,0.4029285102996757,0.10667972575905975,0.1060824076986751,0.10728000350201462,1.0,0.9923756595384482,1.0,1.0,1.0,1.0,False,True,0.50015234375,7.372803707999992
mcsh_l1,MCSH $L_h=1$,fixed_d1,none,233,1021000,43,500,4049,1024000,0.03540682057271548,0.00022820763956904995,0.00020072891349314897,0.0002594470816817366,0.086,0.06447314240360823,0.11383981149855667,0.062,0.11,0.11383981149855667,False,False,0.0039541015625,7.6586955419999185
mcsh_l1,MCSH $L_h=1$,fixed_d1,brw,8,1021000,2,500,4049,1024000,0.035454852908543597,7.835455435847208e-06,3.970425371179561e-06,1.5462859808574743e-05,0.004,0.0010976305226828263,0.014465715215176587,0.0,0.01,0.014465715215176587,False,False,0.0039541015625,7.635121041999923
mcsh_l1,MCSH $L_h=1$,fixed_d1,hard_tuned,41,1021000,7,500,4049,1024000,0.035351858937386044,4.015670910871694e-05,2.960317459199247e-05,5.44723747203811e-05,0.014,0.006797789790843618,0.028613069137784754,0.004,0.026,0.028613069137784754,False,False,0.0039541015625,7.723043374999975
mcsh_l1,MCSH $L_h=1$,fixed_d1,oracle,0,1021000,0,500,4049,1024000,0.03533934829220637,0.0,0.0,3.762433268816303e-06,0.0,0.0,0.007624340461551824,0.0,0.0,0.006,True,False,0.0039541015625,7.7225751250000485
mcsh_l1,MCSH $L_h=1$,fixed_d1,mixllr,0,1021000,0,500,4049,1024000,0.03536951753551918,0.0,0.0,3.762433268816303e-06,0.0,0.0,0.007624340461551824,0.0,0.0,0.006,True,False,0.0039541015625,7.113687499999969
mcsh_l1,MCSH $L_h=1$,fixed_d3,none,9709,1021000,487,500,125539,1024000,0.12323605278101302,0.009509304603330068,0.009322891430969966,0.009699408652710984,0.974,0.9560285091657764,0.9847436160766726,0.95995,0.988,0.9847436160766726,False,True,0.1225966796875,7.746577624999986
mcsh_l1,MCSH $L_h=1$,fixed_d3,brw,281,1021000,76,500,125539,1024000,0.12297866343626103,0.0002752203721841332,0.00024487093378413834,0.0003093301728563753,0.152,0.12319239267380236,0.18611414828743775,0.122,0.184,0.18611414828743775,False,False,0.1225966796875,7.698749958999997
mcsh_l1,MCSH $L_h=1$,fixed_d3,hard_tuned,532,1021000,129,500,125539,1024000,0.12305499259258741,0.0005210577864838393,0.00047863179186174683,0.0005672422934844466,0.258,0.22159620022281404,0.2980939805605771,0.22,0.296,0.2980939805605771,False,True,0.1225966796875,8.18967695899994
mcsh_l1,MCSH $L_h=1$,fixed_d3,oracle,4,1021000,2,500,125539,1024000,0.12323472729490023,3.917727717923604e-06,1.5235288212406507e-06,1.0074330403044654e-05,0.004,0.0010976305226828263,0.014465715215176587,0.0,0.01,0.014465715215176587,False,False,0.1225966796875,7.92493283400006
mcsh_l1,MCSH $L_h=1$,fixed_d3,mixllr,71,1021000,19,500,125539,1024000,0.1233210469568755,6.953966699314397e-05,5.513694445460916e-05,8.77042995237819e-05,0.038,0.024460118055830683,0.05858477253064321,0.022,0.056,0.05858477253064321,False,False,0.1225966796875,7.223186541000018
mcsh_l1,MCSH $L_h=1$,delay_uniform,none,8464,1021000,474,500,110397,1024000,0.11213223403383056,0.008289911851126347,0.008115878113629568,0.008467645641411656,0.948,0.9248988560621552,0.9642697348842943,0.926,0.966,0.9642697348842943,False,True,0.1078095703125,7.868888374999983
mcsh_l1,MCSH $L_h=1$,delay_uniform,brw,273,1021000,65,500,110397,1024000,0.11199500358572802,0.00026738491674828597,0.00023749589532651378,0.00030103435940306183,0.13,0.10332065036463524,0.16232136157691318,0.1,0.16,0.16232136157691318,False,False,0.1078095703125,7.860451291000004
mcsh_l1,MCSH $L_h=1$,delay_uniform,hard_tuned,419,1021000,112,500,110397,1024000,0.11253132130064028,0.00041038197845249755,0.0003729305649537646,0.0004515927371504296,0.224,0.18963897125990922,0.2625696646748674,0.188,0.26,0.2625696646748674,False,True,0.1078095703125,7.825247957999977
mcsh_l1,MCSH $L_h=1$,delay_uniform,oracle,1,1021000,1,500,110397,1024000,0.11213420097704306,9.79431929480901e-07,1.7289380636315717e-07,5.5483959513203965e-06,0.002,0.0003531363945592893,0.01124070670514633,0.0,0.006,0.01124070670514633,False,False,0.1078095703125,7.8301493330000085
mcsh_l1,MCSH $L_h=1$,delay_uniform,mixllr,82,1021000,20,500,110397,1024000,0.11228606364096846,8.031341821743388e-05,6.471041300231663e-05,9.967825235361419e-05,0.04,0.02604079738977757,0.06097359583485012,0.024,0.058,0.06097359583485012,False,False,0.1078095703125,7.190092541000013
mcsh_l1,MCSH $L_h=1$,oracle_best_lag,none,21714,1021000,499,500,171831,1024000,0.15654857523236942,0.021267384916748285,0.020989331500342857,0.021549040732189433,0.998,0.9887592932948537,0.9996468636054407,0.994,1.0,0.9996468636054407,False,True,0.1678037109375,8.228007791000095
mcsh_l1,MCSH $L_h=1$,oracle_best_lag,brw,876,1021000,201,500,171831,1024000,0.15699205642412228,0.0008579823702252694,0.0008030373123719502,0.0009166834051445775,0.402,0.35992874032614613,0.4455656304043181,0.358,0.444,0.4455656304043181,False,True,0.1678037109375,8.137737875000084
mcsh_l1,MCSH $L_h=1$,oracle_best_lag,hard_tuned,1346,1021000,263,500,171831,1024000,0.15682608069791104,0.0013183153770812929,0.0012497852771757505,0.0013905979901083845,0.526,0.48220164836949675,0.5694018859265025,0.482,0.572,0.5694018859265025,False,True,0.1678037109375,8.279417250000051
mcsh_l1,MCSH $L_h=1$,oracle_best_lag,oracle,14,1021000,10,500,171831,1024000,0.15660013972877157,1.3712047012732615e-05,8.168339237870458e-06,2.3018084875087345e-05,0.02,0.01089918359621099,0.03642018324687877,0.008,0.032,0.03642018324687877,False,False,0.1678037109375,8.219687291000014
mcsh_l1,MCSH $L_h=1$,oracle_best_lag,mixllr,232,1021000,62,500,171831,1024000,0.15642291297871988,0.00022722820763956906,0.00019981228180105507,0.00025840485688496327,0.124,0.09794609113930411,0.1557874128877829,0.096,0.154,0.1557874128877829,False,False,0.1678037109375,7.569391957999983
mcsh_l1,MCSH $L_h=1$,causal_adaptive_lag,none,12141,1021000,490,500,134408,1024000,0.12957541938294606,0.01189128305582762,0.011682854191056259,0.012103384873549844,0.98,0.9635798167531212,0.989100816403789,0.968,0.992,0.989100816403789,False,True,0.1312578125,7.885737584000026
mcsh_l1,MCSH $L_h=1$,causal_adaptive_lag,brw,436,1021000,109,500,134490,1024000,0.1297569695189592,0.00042703232125367285,0.0003887930149537652,0.0004690308474611722,0.218,0.18403372643598928,0.25626640158432595,0.182,0.256,0.25626640158432595,False,True,0.131337890625,7.909813915999962
mcsh_l1,MCSH $L_h=1$,causal_adaptive_lag,hard_tuned,646,1021000,140,500,134490,1024000,0.12948225640572122,0.0006327130264446621,0.0005857803437507824,0.0006834033813262777,0.28,0.24243604304127647,0.3209186667618064,0.24,0.32,0.3209186667618064,False,True,0.131337890625,7.898658750000095
mcsh_l1,MCSH $L_h=1$,causal_adaptive_lag,oracle,7,1021000,5,500,134490,1024000,0.12957037082723233,6.8560235063663075e-06,3.321124145698693e-06,1.4153304545188362e-05,0.01,0.00427875389659059,0.0231930997557302,0.002,0.02,0.0231930997557302,False,False,0.131337890625,7.9301746660000845
mcsh_l1,MCSH $L_h=1$,causal_adaptive_lag,mixllr,94,1021000,36,500,134490,1024000,0.1299265861274482,9.20666013712047e-05,7.524185145448166e-05,0.00011265309176785617,0.072,0.05245803141812664,0.09806840401696171,0.05,0.094,0.09806840401696171,False,False,0.131337890625,7.31698237500018
mcsh_l1,MCSH $L_h=1$,candidate_aware,none,14763,1021000,498,500,145509,1024000,0.13732979469346893,0.014459353574926543,0.014229622475653129,0.014692738302762905,0.996,0.9855342847848235,0.9989023694773173,0.99,1.0,0.9989023694773173,False,True,0.1420986328125,7.887841415999901
