experiment,scenario,scheme,x_name,x_value,n_phys,n_active,snr_db,jsr_db,channel,csi_nmse_db,sync_error_prob,jammer_est_error_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,collision_variance_sum,max_symbol_collision_sum,adjacent_overlap_sum,detected_collisions,false_alarms,positive_symbols,negative_symbols,posterior_collision_sum,sync_error_symbols,ber,ber_ci_low,ber_ci_high,fer,collision_rate,collision_variance,max_symbol_collision,adjacent_overlap,pd,pfa,mean_posterior,elapsed_s,ms_per_frame
core_ber,reactive_union2,random_brw,snr_db,16.0,512,64,16.0,5.0,awgn,-300.0,0.0,0.0,84,151800,23,300,31718,153600,1.2991867065429688,90.28125,37.59598214285715,28027,1081,31718,121882,33021.23987948775,0,0.0005533596837944664,0.00044702367054549625,0.0006849731035105063,0.07666666666666666,0.20649739583333335,0.004330622355143229,0.3009375,0.12531994047619052,0.8836307459486726,0.008869234177319047,0.21498203046541506,1.121792499999998,3.7393083333333266
core_ber,reactive_union2,mc2_k7,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,507,151800,65,300,2269,153600,0.5140571594238281,35.453125,0.0,1037,3763,2269,151331,30761.148078232043,0,0.0033399209486166008,0.003061983107853116,0.003642995165682869,0.21666666666666667,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.45702952842661965,0.02486602216333732,0.2002678911343232,1.1660531249999906,3.8868437499999686
core_ber,reactive_union2,mc2_k7,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,171,151800,32,300,2269,153600,0.5140571594238281,35.453125,0.0,1477,4584,2269,151331,23301.5191490463,0,0.0011264822134387353,0.0009698924784042342,0.0013083203487363041,0.10666666666666667,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.6509475539885412,0.030291215943858165,0.1517025986266035,1.1619919169999946,3.873306389999982
core_ber,reactive_union2,mc2_k7,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,92,151800,20,300,2269,153600,0.5140571594238281,35.453125,0.0,1841,2967,2269,151331,14051.542213847884,0,0.0006060606060606061,0.0004942511123007345,0.000743144839050398,0.06666666666666667,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.8113706478624945,0.019606029167850605,0.09148139462140549,1.1597861249999823,3.865953749999941
core_ber,reactive_union2,mc2_k7,snr_db,16.0,512,64,16.0,5.0,awgn,-300.0,0.0,0.0,133,151800,29,300,2269,153600,0.5140571594238281,35.453125,0.0,2072,1299,2269,151331,8233.031616094655,0,0.0008761528326745718,0.0007394129766080369,0.0010381537583806352,0.09666666666666666,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.9131776112825033,0.008583832790373419,0.05360046625061624,1.1594819170000221,3.864939723333407
core_ber,reactive_union2,mc2_hard,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,248,151800,32,300,2269,153600,0.5140571594238281,35.453125,0.0,1037,3763,2269,151331,30761.148078232043,0,0.0016337285902503294,0.001442787306499226,0.0018498926021069354,0.10666666666666667,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.45702952842661965,0.02486602216333732,0.2002678911343232,1.1635666669999978,3.8785555566666594
core_ber,reactive_union2,mc2_hard,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,22,151800,7,300,2269,153600,0.5140571594238281,35.453125,0.0,1477,4584,2269,151331,23301.5191490463,0,0.00014492753623188405,9.571448849355915e-05,0.0002194386615251886,0.023333333333333334,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.6509475539885412,0.030291215943858165,0.1517025986266035,1.170054250000021,3.9001808333334034
core_ber,reactive_union2,mc2_hard,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,2269,153600,0.5140571594238281,35.453125,0.0,1841,2967,2269,151331,14051.542213847884,0,0.0,0.0,2.53054124571411e-05,0.0,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.8113706478624945,0.019606029167850605,0.09148139462140549,1.1639095409999811,3.879698469999937
core_ber,reactive_union2,mc2_hard,snr_db,16.0,512,64,16.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,2269,153600,0.5140571594238281,35.453125,0.0,2072,1299,2269,151331,8233.031616094655,0,0.0,0.0,2.53054124571411e-05,0.0,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.9131776112825033,0.008583832790373419,0.05360046625061624,1.1639112919999945,3.8797043066666483
core_ber,reactive_union2,mc2_brw,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,127,151800,24,300,2269,153600,0.5140571594238281,35.453125,0.0,1037,3763,2269,151331,30761.148078232043,0,0.0008366271409749671,0.000703268819661455,0.00099524853235587,0.08,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.45702952842661965,0.02486602216333732,0.2002678911343232,1.1680720829999984,3.893573609999995
