scenario,scheme,snr_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,detected_collisions,false_alarms,positive_symbols,negative_symbols,collision_variance_sum,max_symbol_collision_sum,ber,ber_ci_low,ber_ci_high,collision_rate,collision_variance,max_symbol_collision,pd,pfa
reactive,hop_k7,8.0,2297,151800,228,300,18880,153600,6934,39,18880,134720,0.3902740478515625,53.671875,0.015131752305665349,0.014529797705577894,0.015758246487743356,0.12291666666666666,0.0013009134928385416,0.17890625,0.3672669491525424,0.00028948931116389546
reactive,hop_k7,12.0,1319,151800,158,300,18880,153600,8934,10,18880,134720,0.3902740478515625,53.671875,0.008689064558629776,0.008234459502716698,0.009168535266274948,0.12291666666666666,0.0013009134928385416,0.17890625,0.4731991525423729,7.422802850356295e-05
reactive,hop_k7,16.0,1002,151800,140,300,18880,153600,10922,1,18880,134720,0.3902740478515625,53.671875,0.006600790513833992,0.006205735940158005,0.0070208164285141305,0.12291666666666666,0.0013009134928385416,0.17890625,0.5784957627118644,7.4228028503562945e-06
reactive,hop_k7_practical,4.0,4856,151800,262,300,18880,153600,4695,125,18880,134720,0.3902740478515625,53.671875,0.031989459815546774,0.031116005855334198,0.03288660017526667,0.12291666666666666,0.0013009134928385416,0.17890625,0.2486758474576271,0.0009278503562945368
reactive,hop_k7_practical,8.0,886,151800,128,300,18880,153600,6934,39,18880,134720,0.3902740478515625,53.671875,0.005836627140974967,0.0054657360447292625,0.006232528253163491,0.12291666666666666,0.0013009134928385416,0.17890625,0.3672669491525424,0.00028948931116389546
reactive,hop_k7_practical,12.0,294,151800,57,300,18880,153600,8934,10,18880,134720,0.3902740478515625,53.671875,0.0019367588932806324,0.001727835131850562,0.0021708900462025955,0.12291666666666666,0.0013009134928385416,0.17890625,0.4731991525423729,7.422802850356295e-05
reactive,hop_k7_practical,16.0,74,151800,24,300,18880,153600,10922,1,18880,134720,0.3902740478515625,53.671875,0.0004874835309617918,0.00038836640843090153,0.0006118813940061891,0.12291666666666666,0.0013009134928385416,0.17890625,0.5784957627118644,7.4228028503562945e-06
reactive,hop_k7_oracle,4.0,173,151800,27,300,18880,153600,4695,125,18880,134720,0.3902740478515625,53.671875,0.0011396574440052701,0.000982087313955625,0.0013224753075086956,0.12291666666666666,0.0013009134928385416,0.17890625,0.2486758474576271,0.0009278503562945368
reactive,hop_k7_oracle,8.0,5,151800,3,300,18880,153600,6934,39,18880,134720,0.3902740478515625,53.671875,3.293807641633728e-05,1.4069256909977122e-05,7.711064135662002e-05,0.12291666666666666,0.0013009134928385416,0.17890625,0.3672669491525424,0.00028948931116389546
reactive,hop_k7_oracle,12.0,3,151800,1,300,18880,153600,8934,10,18880,134720,0.3902740478515625,53.671875,1.9762845849802372e-05,6.721173288677145e-06,5.810893065413758e-05,0.12291666666666666,0.0013009134928385416,0.17890625,0.4731991525423729,7.422802850356295e-05
reactive,hop_k7_oracle,16.0,5,151800,3,300,18880,153600,10922,1,18880,134720,0.3902740478515625,53.671875,3.293807641633728e-05,1.4069256909977122e-05,7.711064135662002e-05,0.12291666666666666,0.0013009134928385416,0.17890625,0.5784957627118644,7.4228028503562945e-06
